<DATE>,<DES>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2005-01-03,1.0,76.87,76.87,75.97,75.97
2005-01-04,0.0,75.52,75.97,72.82,73.27
2005-01-05,1.0,72.37,73.72,72.37,73.72
2005-01-06,1.0,73.72,75.52,73.27,75.07
2005-01-07,1.0,75.52,76.87,75.07,76.42
2005-01-10,0.0,76.42,76.87,75.52,75.52
2005-01-11,0.0,75.52,76.42,74.62,75.97
2005-01-12,0.0,75.52,76.42,75.52,75.97
2005-01-13,0.0,76.87,78.22,76.42,76.42
2005-01-14,1.0,76.42,77.77,75.97,77.77
2005-01-17,0.0,78.67,78.67,77.77,77.77
2005-01-18,0.0,78.22,78.22,76.87,77.77
2005-01-19,1.0,77.77,78.22,76.87,77.77
2005-01-20,0.0,77.32,78.67,76.87,78.22
2005-01-21,1.0,77.77,79.12,77.32,78.67
2005-01-24,0.0,78.22,78.67,77.32,77.77
2005-01-25,0.0,77.32,77.32,75.07,75.52
2005-01-26,0.0,75.97,78.67,75.97,78.67
2005-01-27,1.0,78.22,78.22,77.32,78.22
2005-01-28,1.0,78.22,78.67,76.87,76.87
2005-01-31,1.0,76.87,77.77,75.52,77.32
2005-02-01,1.0,78.22,78.67,76.87,77.77
2005-02-02,1.0,78.22,80.02,77.77,78.67
2005-02-03,1.0,78.67,79.12,77.77,78.67
2005-02-14,1.0,79.57,80.02,79.12,80.02
2005-02-15,0.0,80.02,80.47,79.57,80.02
2005-02-16,1.0,80.47,80.47,79.57,79.57
2005-02-17,0.0,79.57,79.57,77.77,78.67
2005-02-18,1.0,78.67,80.91,77.77,78.67
2005-02-21,1.0,79.12,80.02,78.67,78.67
2005-02-22,1.0,79.57,80.02,78.67,79.12
2005-02-23,1.0,79.12,80.02,78.67,79.57
2005-02-24,0.0,79.57,80.47,79.12,80.02
2005-02-25,1.0,80.91,80.91,80.02,80.02
2005-03-01,1.0,80.47,80.91,78.76,80.47
2005-03-02,1.0,80.47,80.91,80.02,80.91
2005-03-03,0.0,80.91,81.09,79.93,81.0
2005-03-04,0.0,80.83,80.91,80.47,80.91
2005-03-07,0.0,80.91,84.24,80.91,82.71
2005-03-08,1.0,83.88,84.6,82.62,82.71
2005-03-09,0.0,82.71,83.16,81.9,81.9
