date,a2c,ppo,ddpg,td3,sac,mvo,cap_bh,twii,0050
2024-03-20,1191789.1343016254,1140230.8665853408,1190663.7891096538,1034309.7138440256,1051764.766064836,998928.5029668036,1145283.282032854,1108139.096664798,1135656.070272326
2024-03-21,1222605.5122485815,1167729.6998358432,1221376.188202248,1051504.8473020943,1077293.569714969,1013412.5804801875,1173853.763316549,1131363.3715762557,1166790.2225204355
2024-03-22,1222428.3075401084,1169108.7620563372,1223049.2131559628,1051166.5526689503,1086226.7460467382,1016849.2950467034,1175578.3910897356,1133006.714162644,1165307.66538707
2024-03-25,1215154.681187866,1164599.6187262635,1218171.1305795712,1051324.3745401716,1084057.922126471,1017476.564989011,1170505.8972017055,1130980.2677460378,1167531.5576430473
2024-03-26,1217021.1991472198,1165517.2559800867,1219141.724947458,1050995.903408007,1079011.4040877323,1011361.1357652752,1170851.0809103146,1127297.0230688236,1168272.8927656596
2024-03-27,1214042.247850178,1167908.5199562106,1222407.8379359387,1059894.8962663312,1087687.5951110723,1014414.669794456,1173441.691052759,1131421.0231235216,1168643.4472151068
2024-03-28,1203599.731494021,1163742.387909232,1217276.0523788307,1062171.5527390973,1093871.7223278305,1013322.0620342514,1169368.318230048,1128420.626564017,1163083.7731310923
2024-03-29,1218642.53373681,1175769.7997972474,1231449.0641949424,1062917.9147180452,1094701.0297954176,1025794.1840884248,1181529.705824183,1136704.508471331,1169755.449899025
2024-04-01,1206432.6654208004,1167284.268258881,1219328.525653672,1067632.3962887672,1099760.6047784237,1030459.6170975628,1171407.3314554873,1132665.0713123386,1166790.2225204355
2024-04-02,1227877.4081503495,1184655.2834076802,1243144.2355592975,1074036.3749021988,1110226.8238157572,1026617.8009382352,1190951.2745850112,1146345.1161645858,1183469.244772479
2024-04-03,1218275.973256545,1174807.5718481317,1233798.9199391594,1064520.4808605234,1104716.4229051345,1036136.1373883098,1180905.115928011,1139121.3882317548,1175315.1239830395
2024-04-08,1222847.7059291457,1179633.2128153262,1238049.823174128,1070104.9245485205,1111095.7132014062,1041332.4649740688,1185378.6611800466,1143607.8163245772,1181986.6876391135
2024-04-09,1259534.5640038117,1205979.9234961292,1272120.6373479872,1077127.6614169334,1117114.957310001,1045178.7984386928,1213700.9322724224,1164807.832733936,1210155.725620492
2024-04-10,1256315.6903791998,1203276.5282601025,1269136.1579533014,1074575.4000653366,1108459.8093584825,1040795.4351851104,1210103.1409264,1162977.9704358052,1208302.5009258206
2024-04-11,1258131.0449318842,1203478.7021763115,1271407.4654409152,1065645.8682449025,1097665.9959359036,1036530.346950624,1210837.0681171166,1162400.5797973445,1204596.0515364776
2024-04-12,1256620.9922343418,1198804.180863343,1266501.2711569143,1062983.0473316358,1097825.0254849803,1036028.6169913064,1206419.6976128223,1161467.981238633,1201630.9372697468
2024-04-15,1240479.9021253288,1182142.073484703,1246216.890991862,1054147.1789944835,1084330.4900639828,1028728.8545477676,1188674.3336678168,1145404.0941350216,1186063.8045897624
2024-04-16,1208949.2259554162,1150039.6924709782,1212808.9771296168,1027711.7357976356,1055301.9216024606,1001125.1588442624,1156621.9747264108,1114720.99987693,1153817.649657735
2024-04-17,1227207.3867180252,1164490.3084295697,1231031.4188082805,1035157.7856806018,1068873.445791717,1008743.277216553,1172950.365975137,1132160.9758098703,1166790.2225204355
2024-04-18,1229314.356488113,1167763.8708498406,1233370.1837536446,1041507.1625846616,1079654.13070371,1018961.692749375,1175856.7592438883,1137082.580098183,1178280.2382497704
2024-04-19,1166337.447947533,1118575.2194843409,1172471.794535519,1021957.569946048,1052855.7355038887,992056.5575764108,1122437.771514246,1093725.881661174,1118606.3804589764
2024-04-22,1159735.8454456837,1117320.5106115637,1164977.8240593942,1036630.9833336902,1064142.805284507,992640.7051042478,1119084.7321981955,1087234.3393181912,1115270.5986309391
2024-04-23,1172554.9219257734,1126949.5477274605,1177584.6304362542,1037411.8062939096,1064958.2508822212,993575.9491463784,1129554.038874767,1097767.6161303998,1126019.2792376622
2024-04-24,1207636.5265053085,1159214.6138519926,1217678.2616938052,1054493.8324493594,1091514.5717357907,1012922.6362576538,1164273.6055566885,1127591.0787785968,1159006.769292302
2024-04-25,1185719.995119658,1139820.178670235,1193894.9291923018,1041177.5915210894,1078372.0990094976,999853.7220683838,1143753.473781642,1112226.2303600488,1137879.9625283033
2024-04-26,1203460.6291128667,1155168.5460514876,1213417.5302453332,1048198.943733917,1088402.4072174667,1012018.379287752,1160376.329910161,1126962.053357765,1156412.2094750185
2024-04-29,1227449.2835253002,1178203.8355809522,1234573.7281710664,1069498.8146502234,1113850.4642677554,1030143.4402347496,1183133.635577598,1147966.579605902,1177168.348677711
2024-04-30,1221637.05250629,1170881.809754627,1226562.1247546966,1062222.8982697062,1105346.6327875704,1027536.1256994175,1175572.019141118,1142426.014303491,1173091.231727062
