agent,eff_n,max_w,avg_dev_to_cap,turnover
A2C,2.5230265370503275,0.6230932743340618,0.053273493440637754,0.001431394344987645
PPO,5.530024746107239,0.41323346766066876,1.1266660912303668e-06,0.0007797011714403067
DDPG,3.1201321270353506,0.5556208364963292,0.024649161381632423,0.0009528345362491559
TD3,18.36549231416101,0.1316097419072806,0.19950818393833847,0.0025943169372265474
SAC,13.37807538448797,0.1759946377059173,0.2178944775496818,0.0028884510371271245
CAP (ref),5.534079228052401,0.4130173965206959,0.0,0.0
