symbol,window,val_reward,source_folder,source_ckpt,dest,notes
1216,60,-4.2900,1216_60_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val--4.290.data,trained_models/1216_all_60.data,
1216,65,6.1380,1216_65_val20240101_20260331_okohlcv_2h_novol_fpsfix2,best_val-6.138.data,trained_models/1216_all_65.data,
1216,75,,,,trained_models/1216_all_75.data,MISSING legacy checkpoint
2884,55,15.1750,2884_55_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-15.175.data,trained_models/2884_all_55.data,
2884,60,25.4650,2884_60_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-25.465.data,trained_models/2884_all_60.data,
2884,65,25.5110,2884_65_val20240101_20260331_okohlcv_3h_novol_fpsfix2,best_val-25.511.data,trained_models/2884_all_65.data,
2884,75,42.5610,2884_75_val20240101_20260331_okohlcv_3h_novol_fpsfix2,best_val-42.561.data,trained_models/2884_all_75.data,
5871,55,12.8990,5871_55_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-12.899.data,trained_models/5871_all_55.data,
5871,60,,,,trained_models/5871_all_60.data,MISSING legacy checkpoint
5871,65,,,,trained_models/5871_all_65.data,MISSING legacy checkpoint
5871,75,,,,trained_models/5871_all_75.data,MISSING legacy checkpoint
2892,55,3.9730,2892_55_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-3.973.data,trained_models/2892_all_55.data,
2892,60,,,,trained_models/2892_all_60.data,MISSING legacy checkpoint
2892,65,,,,trained_models/2892_all_65.data,MISSING legacy checkpoint
2892,75,,,,trained_models/2892_all_75.data,MISSING legacy checkpoint
2885,55,32.3760,2885_55_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-32.376.data,trained_models/2885_all_55.data,
2885,60,34.0440,2885_60_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-34.044.data,trained_models/2885_all_60.data,
2885,65,45.0370,2885_65_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-45.037.data,trained_models/2885_all_65.data,
2885,75,52.0520,2885_75_val20240101_20260331_okohlcv_3h_novol_fpsfix2,best_val-52.052.data,trained_models/2885_all_75.data,
5880,55,-0.8590,5880_55_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val--0.859.data,trained_models/5880_all_55.data,
5880,60,-1.0500,5880_60_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val--1.050.data,trained_models/5880_all_60.data,
5880,65,7.3960,5880_65_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-7.396.data,trained_models/5880_all_65.data,
5880,75,18.0340,5880_75_val20240101_20260331_okohlcv_2h_novol_fpsfix2,best_val-18.034.data,trained_models/5880_all_75.data,
3034,55,2.6030,3034_55_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-2.603.data,trained_models/3034_all_55.data,
3034,60,,,,trained_models/3034_all_60.data,MISSING legacy checkpoint
3034,65,,,,trained_models/3034_all_65.data,MISSING legacy checkpoint
3034,75,,,,trained_models/3034_all_75.data,MISSING legacy checkpoint
3008,55,6.8380,3008_55_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-6.838.data,trained_models/3008_all_55.data,
3008,60,,,,trained_models/3008_all_60.data,MISSING legacy checkpoint
3008,65,,,,trained_models/3008_all_65.data,MISSING legacy checkpoint
3008,75,,,,trained_models/3008_all_75.data,MISSING legacy checkpoint
1101,55,3.6920,1101_55_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-3.692.data,trained_models/1101_all_55.data,
1101,60,-8.0920,1101_60_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val--8.092.data,trained_models/1101_all_60.data,
1101,65,-2.8480,1101_65_val20240101_20260331_okohlcv_2h_novol_fpsfix2,best_val--2.848.data,trained_models/1101_all_65.data,
1101,75,35.1470,1101_75_val20240101_20260331_okohlcv_3h_novol,best_val-35.147.data,trained_models/1101_all_75.data,
1326,55,42.6390,1326_55_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-42.639.data,trained_models/1326_all_55.data,
1326,60,,,,trained_models/1326_all_60.data,MISSING legacy checkpoint
1326,65,,,,trained_models/1326_all_65.data,MISSING legacy checkpoint
1326,75,,,,trained_models/1326_all_75.data,MISSING legacy checkpoint
2880,55,25.9670,2880_55_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-25.967.data,trained_models/2880_all_55.data,
2880,60,29.2380,2880_60_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-29.238.data,trained_models/2880_all_60.data,
2880,65,42.4470,2880_65_val20240101_20260331_okohlcv_3h_novol_fpsfix2,best_val-42.447.data,trained_models/2880_all_65.data,
2880,75,50.1790,2880_75_val20240101_20260331_okohlcv_3h_novol_fpsfix2,best_val-50.179.data,trained_models/2880_all_75.data,
2382,55,,,,trained_models/2382_all_55.data,MISSING legacy checkpoint
2382,60,35.7500,2382_60_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-35.750.data,trained_models/2382_all_60.data,
2382,65,59.3860,2382_65_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-59.386.data,trained_models/2382_all_65.data,
2382,75,54.8050,2382_75_val20240101_20260331_okohlcv_2h_novol_fpsfix2,best_val-54.805.data,trained_models/2382_all_75.data,
2327,55,,,,trained_models/2327_all_55.data,MISSING legacy checkpoint
2327,60,,,,trained_models/2327_all_60.data,MISSING legacy checkpoint
2327,65,,,,trained_models/2327_all_65.data,MISSING legacy checkpoint
2327,75,,,,trained_models/2327_all_75.data,MISSING legacy checkpoint
2883,55,,,,trained_models/2883_all_55.data,MISSING legacy checkpoint
2883,60,19.3580,2883_60_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-19.358.data,trained_models/2883_all_60.data,
2883,65,34.3730,2883_65_val20240101_20260331_okohlcv_3h_novol_fpsfix2,best_val-34.373.data,trained_models/2883_all_65.data,
2883,75,45.6670,2883_75_val20240101_20260331_okohlcv_3h_novol_fpsfix2,best_val-45.667.data,trained_models/2883_all_75.data,
2207,55,,,,trained_models/2207_all_55.data,MISSING legacy checkpoint
2207,60,,,,trained_models/2207_all_60.data,MISSING legacy checkpoint
2207,65,,,,trained_models/2207_all_65.data,MISSING legacy checkpoint
2207,75,,,,trained_models/2207_all_75.data,MISSING legacy checkpoint
2357,55,,,,trained_models/2357_all_55.data,MISSING legacy checkpoint
2357,60,,,,trained_models/2357_all_60.data,MISSING legacy checkpoint
2357,65,,,,trained_models/2357_all_65.data,MISSING legacy checkpoint
2357,75,,,,trained_models/2357_all_75.data,MISSING legacy checkpoint
2890,55,,,,trained_models/2890_all_55.data,MISSING legacy checkpoint
2890,60,32.2050,2890_60_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-32.205.data,trained_models/2890_all_60.data,
2890,65,41.1190,2890_65_val20240101_20260331_okohlcv_2p5h_novol_fpsfix2,best_val-41.119.data,trained_models/2890_all_65.data,
2890,75,38.6830,2890_75_val20240101_20260331_okohlcv_3h_novol_fpsfix2,best_val-38.683.data,trained_models/2890_all_75.data,
2379,55,,,,trained_models/2379_all_55.data,MISSING legacy checkpoint
2379,60,,,,trained_models/2379_all_60.data,MISSING legacy checkpoint
2379,65,,,,trained_models/2379_all_65.data,MISSING legacy checkpoint
2379,75,,,,trained_models/2379_all_75.data,MISSING legacy checkpoint
2887,55,,,,trained_models/2887_all_55.data,MISSING legacy checkpoint
2887,60,35.4870,2887_60_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-35.487.data,trained_models/2887_all_60.data,
2887,65,65.1170,2887_65_val20240101_20260331_okohlcv_2p5h_novol_fpsfix2,best_val-65.117.data,trained_models/2887_all_65.data,
2887,75,63.7460,2887_75_val20240101_20260331_okohlcv_3h_novol_fpsfix2,best_val-63.746.data,trained_models/2887_all_75.data,
2603,55,,,,trained_models/2603_all_55.data,MISSING legacy checkpoint
2603,60,28.0180,2603_60_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-28.018.data,trained_models/2603_all_60.data,
2603,65,27.7790,2603_65_val20240101_20260331_okohlcv_2h_novol_fpsfix2,best_val-27.779.data,trained_models/2603_all_65.data,
2603,75,54.8810,2603_75_val20240101_20260331_okohlcv_3h_novol,best_val-54.881.data,trained_models/2603_all_75.data,
3045,55,,,,trained_models/3045_all_55.data,MISSING legacy checkpoint
3045,60,,,,trained_models/3045_all_60.data,MISSING legacy checkpoint
