symbol,window,val_reward,source_folder,source_ckpt,dest,notes
AAPL,55,,,,trained_models/AAPL_all_55.data,MISSING legacy checkpoint
AAPL,60,18.9040,AAPL_60_v8_gpu_b10_novol_val202401_20260330_2h_dynbeta_dow15_b1_20260523_221053,best_val-18.904.data,trained_models/AAPL_all_60.data,
AAPL,65,42.9810,AAPL_65_v8_gpu_b10_novol_val202401_20260330_2h_dynbeta_traindata16_b1_20260523_112756,best_val-42.981.data,trained_models/AAPL_all_65.data,
AAPL,75,45.8010,AAPL_75_v8_gpu_b10_novol_val202401_20260330_2h_dynbeta_traindata16_b1_20260522_221821,best_val-45.801.data,trained_models/AAPL_all_75.data,
AMGN,55,,,,trained_models/AMGN_all_55.data,MISSING legacy checkpoint
AMGN,60,17.4780,AMGN_60_v8_gpu_b10_novol_val202401_20260330_2h_dynbeta_dow15_b1_20260523_221053,best_val-17.478.data,trained_models/AMGN_all_60.data,
AMGN,65,40.1570,AMGN_65_v8_gpu_b10_novol_val202401_20260330_2h_dynbeta_traindata16_b1_20260523_112756,best_val-40.157.data,trained_models/AMGN_all_65.data,
AMGN,75,64.3320,AMGN_75_v8_gpu_b10_novol_val202401_20260330_2h_dynbeta_traindata16_b1_20260522_221821,best_val-64.332.data,trained_models/AMGN_all_75.data,
AMZN,55,,,,trained_models/AMZN_all_55.data,MISSING legacy checkpoint
AMZN,60,21.8220,AMZN_60_v8_gpu_b10_novol_val202401_20260330_2h_dynbeta_dow15_b1_20260523_221053,best_val-21.822.data,trained_models/AMZN_all_60.data,
AMZN,65,25.1480,AMZN_65_v8_gpu_b10_novol_val202401_20260330_2h_dynbeta_traindata16_b1_20260523_112756,best_val-25.148.data,trained_models/AMZN_all_65.data,
AMZN,75,61.1560,AMZN_75_v8_gpu_b10_novol_val202401_20260330_2h_dynbeta_traindata16_b1_20260522_221821,best_val-61.156.data,trained_models/AMZN_all_75.data,
AXP,55,,,,trained_models/AXP_all_55.data,MISSING legacy checkpoint
AXP,60,30.7390,AXP_60_v8_gpu_b10_novol_val202401_20260330_2h_dynbeta_dow15_b1_20260523_221053,best_val-30.739.data,trained_models/AXP_all_60.data,
AXP,65,40.3890,AXP_65_v8_gpu_b10_novol_val202401_20260330_2h_dynbeta_traindata16_b1_20260523_112756,best_val-40.389.data,trained_models/AXP_all_65.data,
AXP,75,54.5350,AXP_75_v8_gpu_b10_novol_val202401_20260330_2h_dynbeta_traindata16_b1_20260522_221821,best_val-54.535.data,trained_models/AXP_all_75.data,
BA,55,,,,trained_models/BA_all_55.data,MISSING legacy checkpoint
BA,60,39.8630,BA_60_v8_gpu_b10_novol_val202401_20260330_2h_dynbeta_dow15_b2_20260523_221053,best_val-39.863.data,trained_models/BA_all_60.data,
BA,65,31.0910,BA_65_v8_gpu_b10_novol_val202401_20260330_2h_dynbeta_traindata16_b2_20260523_112756,best_val-31.091.data,trained_models/BA_all_65.data,
BA,75,64.1550,BA_75_v8_gpu_b10_novol_val202401_20260330_2h_dynbeta_traindata16_b2_20260522_221821,best_val-64.155.data,trained_models/BA_all_75.data,
CAT,55,,,,trained_models/CAT_all_55.data,MISSING legacy checkpoint
CAT,60,66.2620,CAT_60_v8_gpu_b10_novol_val202401_20260330_2h_dynbeta_dow15_b2_20260523_221053,best_val-66.262.data,trained_models/CAT_all_60.data,
CAT,65,64.4970,CAT_65_v8_gpu_b10_novol_val202401_20260330_2h_dynbeta_traindata16_b2_20260523_112756,best_val-64.497.data,trained_models/CAT_all_65.data,
CAT,75,95.1050,CAT_75_v8_gpu_b10_novol_val202401_20260330_2h_dynbeta_traindata16_b2_20260522_221821,best_val-95.105.data,trained_models/CAT_all_75.data,
