date,dqn_tw50_w55_equal,bh_tw50_w55_equal,dqn_tw50_w55_cap,bh_tw50_w55_cap,dqn_tw50_w60_equal,bh_tw50_w60_equal,dqn_tw50_w60_cap,bh_tw50_w60_cap,dqn_tw50_w65_equal,bh_tw50_w65_equal,dqn_tw50_w65_cap,bh_tw50_w65_cap,dqn_tw50_w75_equal,bh_tw50_w75_equal,dqn_tw50_w75_cap,bh_tw50_w75_cap
2024-01-17,0.9901036623024511,0.9803015245898137,0.9948180002690425,0.9915375372799761,0.9939735932837666,0.9836692322512038,0.9925546410164331,0.9830910330764325,0.9934933001207118,0.9836692322512038,0.9928288759883322,0.9830910330764325,1.0000838615504615,0.9852579867798336,1.0001861845778455,0.9852539314820647
2024-01-18,0.9915675517587553,0.982910433810879,0.9961683655207647,0.9998310812353451,0.9928938334285968,0.9850827310100343,0.9903754407810423,0.982590782588995,0.9937623287342924,0.9850827310100343,0.9915832028655168,0.982590782588995,0.9986934179991487,0.9870232703979717,0.9965479258506635,0.9831524874276102
2024-01-19,1.0002975184965934,0.9939666519567207,1.0335267709480918,1.038859453505404,1.0017512606013301,0.9989454179887105,1.0013433046351066,0.9982479837036861,1.0046659447194641,0.9989454179887105,1.0043107403091602,0.9982479837036861,1.0080990191125865,0.9966196952006425,1.012267027170046,0.9988313465107456
2024-01-22,1.001699822776927,0.9960392635589557,1.032857882836874,1.0402147322729163,1.0094288459571936,1.0074340244467508,1.009473407792979,1.008355489719481,1.0141804258877525,1.0074340244467508,1.0153114759201964,1.008355489719481,1.0118405606858556,0.9994186826560947,1.0209991540650383,1.0073999480947637
2024-01-23,1.0038393599428872,1.0009589056747048,1.034637300154795,1.0438789950439868,1.0109899697820235,1.010169292277115,1.011264925899466,1.0109347058969376,1.0155275671051653,1.010169292277115,1.0167437439818785,1.0109347058969376,1.01322934946355,1.0014762704775124,1.0214477470230792,1.0081239328474092
2024-01-24,1.0059532433577179,1.0041979548144404,1.0356335174487845,1.0452808507251032,1.0120535313818446,1.0134403172944626,1.0118640610521645,1.013843238397083,1.0169403393225465,1.0134403172944626,1.0176486663821112,1.013843238397083,1.0140607463135198,1.0040685633012745,1.0218885515822116,1.009626210985447
2024-01-25,1.0099547375357452,1.008820338257377,1.0507449748225144,1.0607367458434338,1.012855562825012,1.0140562201397636,1.0141392471589072,1.0162418027790716,1.0157691848725814,1.0140562201397636,1.017564180335088,1.0162418027790716,1.0143926571928763,1.0033499617875037,1.022523232627275,1.009017508232109
2024-01-26,1.0107755389689805,1.0103304488143472,1.0524648834717283,1.0628717749749448,1.0122889057367512,1.01594752399946,1.0122566856270736,1.0164603645577406,1.0162546360000315,1.01594752399946,1.0169948323382256,1.0164603645577406,1.020056749810606,1.0086175985354278,1.0277417661780897,1.0117305348086783
2024-01-29,1.0122250700171078,1.0141436067168155,1.0515158746040145,1.0680499135346762,1.0153021551625718,1.0209097215301133,1.014672999136313,1.0214845633471301,1.020372812589819,1.0209097215301133,1.0208470042879638,1.0214845633471301,1.0212413963357756,1.012520689908298,1.0283841909535758,1.017681097645796
2024-01-30,1.007063693782337,1.003801899699953,1.0501178213282534,1.0596606306952876,1.009937645933381,1.013088381976201,1.0088569363590663,1.0149656403718696,1.0156745514051755,1.013088381976201,1.0180001443737392,1.0149656403718696,1.0144289058804856,1.0056853739437785,1.0214329487680853,1.0135425629797918
