symbol,window,test_start,test_end,n_rows,model_pct,bh_pct,excess_pct,n_buy,n_close,n_skip,model_file
MCD,60,2024-01-02,2026-03-30,562,18.0965,9.7732,8.3233,192,92,267,MCD_all_60.data
MCD,65,2024-01-02,2026-03-30,562,36.6872,9.7732,26.914,115,207,229,MCD_all_65.data
MCD,75,2024-01-02,2026-03-30,562,53.2374,9.7732,43.4642,154,261,136,MCD_all_75.data
MMM,60,2024-01-02,2026-03-30,562,69.1195,65.7341,3.3854,310,54,187,MMM_all_60.data
MMM,65,2024-01-02,2026-03-30,562,52.2443,65.7341,-13.4897,252,172,127,MMM_all_65.data
MMM,75,2024-01-02,2026-03-30,562,113.0466,65.7341,47.3126,148,152,251,MMM_all_75.data
MRK,60,2024-01-02,2026-03-30,562,38.624,15.7353,22.8887,159,124,268,MRK_all_60.data
MRK,65,2024-01-02,2026-03-30,562,59.5692,15.7353,43.8339,105,202,244,MRK_all_65.data
MRK,75,2024-01-02,2026-03-30,562,65.9963,15.7353,50.261,249,164,138,MRK_all_75.data
MSFT,60,2024-01-02,2026-03-30,562,23.6058,-2.7715,26.3773,190,75,286,MSFT_all_60.data
MSFT,65,2024-01-02,2026-03-30,562,22.271,-2.7715,25.0424,149,134,268,MSFT_all_65.data
MSFT,75,2024-01-02,2026-03-30,562,69.7303,-2.7715,72.5017,156,103,292,MSFT_all_75.data
NKE,60,2024-01-02,2026-03-30,562,0.7783,-50.54,51.3183,296,150,105,NKE_all_60.data
NKE,65,2024-01-02,2026-03-30,562,41.4599,-50.54,92.0,137,188,226,NKE_all_65.data
NKE,75,2024-01-02,2026-03-30,562,87.0679,-50.54,137.6079,164,252,135,NKE_all_75.data
NVDA,60,2024-01-02,2026-03-30,562,118.4259,235.1765,-116.7505,162,176,213,NVDA_all_60.data
NVDA,65,2024-01-02,2026-03-30,562,143.4178,235.1765,-91.7586,263,196,92,NVDA_all_65.data
NVDA,75,2024-01-02,2026-03-30,562,253.1491,235.1765,17.9726,243,226,82,NVDA_all_75.data
PG,60,2024-01-02,2026-03-30,562,12.5549,4.3171,8.2378,200,187,164,PG_all_60.data
PG,65,2024-01-02,2026-03-30,562,23.2115,4.3171,18.8944,175,157,219,PG_all_65.data
PG,75,2024-01-02,2026-03-30,562,48.2296,4.3171,43.9125,77,178,296,PG_all_75.data
SHW,60,2024-01-02,2026-03-30,562,20.5486,5.3038,15.2448,120,106,325,SHW_all_60.data
SHW,65,2024-01-02,2026-03-30,562,49.6104,5.3038,44.3066,118,181,252,SHW_all_65.data
SHW,75,2024-01-02,2026-03-30,562,61.6879,5.3038,56.3841,157,268,126,SHW_all_75.data
TRV,60,2024-01-02,2026-03-30,562,52.9498,58.9047,-5.9549,201,142,208,TRV_all_60.data
