universe,window,scheme,n_symbols,dqn_final_pct,dqn_ann_pct,dqn_sharpe,dqn_max_dd_pct,bh_final_pct,bh_ann_pct,bh_sharpe,bh_max_dd_pct,excess_pct
tw50,55,equal,25,53.953,22.867,1.736,-11.862,40.477,17.611,0.979,-23.466,13.476
tw50,55,cap,25,95.432,37.684,1.616,-22.224,126.895,47.852,1.676,-25.324,-31.464
tw50,60,equal,25,70.327,28.939,2.302,-8.644,49.653,21.217,1.141,-23.263,20.673
tw50,60,cap,25,67.757,28.007,2.106,-8.899,44.474,19.196,1.022,-25.685,23.283
tw50,65,equal,25,103.53,40.378,3.327,-6.635,49.653,21.217,1.141,-23.263,53.877
tw50,65,cap,25,101.052,39.56,3.179,-6.545,44.474,19.196,1.022,-25.685,56.578
tw50,75,equal,14,99.692,39.108,4.072,-4.362,31.692,14.042,0.939,-16.476,67.999
tw50,75,cap,14,103.837,40.479,3.858,-5.883,26.141,11.721,0.753,-22.256,77.696
