symbol,window,test_start,test_end,n_rows,model_pct,bh_pct,excess_pct,n_buy,n_close,n_skip,model_file
2382,60,2024-01-02,2026-03-30,539,98.4392,28.8148,69.6244,120,123,285,2382_all_60.data
2382,65,2024-01-02,2026-03-30,539,124.9689,28.8148,96.1541,59,54,415,2382_all_65.data
2382,75,2024-01-02,2026-03-30,539,117.0663,28.8148,88.2515,258,75,195,2382_all_75.data
2883,60,2024-01-02,2026-03-30,539,38.7961,59.494,-20.698,101,125,302,2883_all_60.data
2883,65,2024-01-02,2026-03-30,539,74.0503,59.494,14.5563,153,73,302,2883_all_65.data
2883,75,2024-01-02,2026-03-30,539,94.1348,59.494,34.6407,149,148,231,2883_all_75.data
2890,60,2024-01-02,2026-03-30,539,49.2508,64.1746,-14.9238,199,150,179,2890_all_60.data
2890,65,2024-01-02,2026-03-30,539,67.1352,64.1746,2.9607,171,143,214,2890_all_65.data
2890,75,2024-01-02,2026-03-30,539,69.9415,64.1746,5.7669,326,86,116,2890_all_75.data
2887,60,2024-01-02,2026-03-30,539,43.7136,40.929,2.7845,230,188,110,2887_all_60.data
2887,65,2024-01-02,2026-03-30,539,89.1851,40.929,48.2561,178,118,232,2887_all_65.data
2887,75,2024-01-02,2026-03-30,539,81.7481,40.929,40.819,89,222,217,2887_all_75.data
2603,60,2024-01-02,2026-03-30,539,63.376,41.3916,21.9844,44,144,340,2603_all_60.data
2603,65,2024-01-02,2026-03-30,539,31.2483,41.3916,-10.1433,184,192,152,2603_all_65.data
2603,75,2024-01-02,2026-03-30,539,99.9736,41.3916,58.582,266,195,67,2603_all_75.data
3045,75,2024-01-02,2026-03-30,539,36.7097,14.4783,22.2314,124,50,354,3045_all_75.data
2801,60,2024-01-02,2026-03-30,539,34.2927,20.8353,13.4574,141,91,296,2801_all_60.data
2801,65,2024-01-02,2026-03-30,539,32.4084,20.8353,11.573,235,8,285,2801_all_65.data
2801,75,2024-01-02,2026-03-30,539,46.5504,20.8353,25.7151,352,54,122,2801_all_75.data
6505,60,2024-01-02,2026-03-30,539,16.3386,-28.0859,44.4246,62,78,388,6505_all_60.data
6505,65,2024-01-02,2026-03-30,539,37.0458,-28.0859,65.1317,101,151,276,6505_all_65.data
6505,75,2024-01-02,2026-03-30,539,61.4446,-28.0859,89.5305,95,176,257,6505_all_75.data
2345,60,2024-01-02,2026-03-30,539,182.3144,217.2146,-34.9002,288,67,173,2345_all_60.data
2345,65,2024-01-02,2026-03-30,539,208.8687,217.2146,-8.3459,77,22,429,2345_all_65.data
3231,60,2024-01-02,2026-03-30,539,127.586,29.9225,97.6635,280,166,82,3231_all_60.data
3231,65,2024-01-02,2026-03-30,539,74.2366,29.9225,44.3141,77,242,209,3231_all_65.data
2408,60,2024-01-02,2026-03-30,539,157.9128,182.2523,-24.3395,97,188,243,2408_all_60.data
2408,65,2024-01-02,2026-03-30,539,253.4251,182.2523,71.1728,189,216,123,2408_all_65.data
