date,dqn_dow30_w55_equal,bh_dow30_w55_equal,dqn_dow30_w55_price,bh_dow30_w55_price,dqn_dow30_w60_equal,bh_dow30_w60_equal,dqn_dow30_w60_price,bh_dow30_w60_price,dqn_dow30_w65_equal,bh_dow30_w65_equal,dqn_dow30_w65_price,bh_dow30_w65_price,dqn_dow30_w75_equal,bh_dow30_w75_equal,dqn_dow30_w75_price,bh_dow30_w75_price
2024-01-18 00:00:00,,,,,1.0029656162902536,1.007525892201085,1.0028559557106624,1.0069205933263985,1.00356170423614,1.007525892201085,1.0034022237343674,1.0069205933263985,1.003121652214375,1.007525892201085,1.0026645344868665,1.0069205933263985
2024-01-19 00:00:00,,,,,1.0098051539248885,1.0193715639873293,1.0090786910249332,1.0173463469026978,1.0082237206793672,1.0193715639873293,1.0075153794801577,1.0173463469026978,1.0121939239090236,1.0193715639873293,1.0100313070604396,1.0173463469026978
2024-01-22 00:00:00,,,,,1.0107843414759086,1.022861944660446,1.0102946535575614,1.021275139852914,1.009654365621051,1.022861944660446,1.0086016289003121,1.021275139852914,1.014401175785537,1.022861944660446,1.0113776948646802,1.021275139852914
2024-01-23 00:00:00,,,,,1.0082027765898274,1.021519803205359,1.0089260428668396,1.018664171162933,1.0104969954892347,1.021519803205359,1.0087963565592504,1.018664171162933,1.0174042986229035,1.021519803205359,1.0115515073177814,1.018664171162933
2024-01-24 00:00:00,,,,,1.0070802557064806,1.017998887030548,1.008743026483262,1.0164043975137425,1.0084471624012301,1.017998887030548,1.0074110171735473,1.0164043975137425,1.0147487858324178,1.017998887030548,1.010856123792093,1.0164043975137425
2024-01-25 00:00:00,,,,,1.0164670293608353,1.028335256948767,1.0168990660791328,1.0215005965452957,1.013271583909748,1.028335256948767,1.011615914470338,1.0215005965452957,1.0258900972647405,1.028335256948767,1.0193216367519378,1.0215005965452957
2024-01-26 00:00:00,,,,,1.0179950682590695,1.0312217723818056,1.0173274268687251,1.0242974139749452,1.0132535702705483,1.0312217723818056,1.0103109935047456,1.0242974139749452,1.0247406160732522,1.0312217723818056,1.0172735490229567,1.0242974139749452
2024-01-29 00:00:00,,,,,1.0215867940577275,1.0379083421956687,1.0205580254071882,1.0316009528421117,1.0174280403274696,1.0379083421956687,1.0143854258620686,1.0316009528421117,1.0303202257951465,1.0379083421956687,1.0227836698799073,1.0316009528421117
2024-01-30 00:00:00,,,,,1.023980900038346,1.0406448329955598,1.023708662191005,1.0342216824505968,1.0193929741979328,1.0406448329955598,1.0165054315237125,1.0342216824505968,1.031922016774616,1.0406448329955598,1.0245259726346956,1.0342216824505968
2024-01-31 00:00:00,,,,,1.0165881727859605,1.0297253721609456,1.0178261331558653,1.0259387345476492,1.0121397922452215,1.0297253721609456,1.0114541586404715,1.0259387345476492,1.021795056779951,1.0297253721609456,1.0145515728291972,1.0259387345476492
2024-02-01 00:00:00,,,,,1.0241696669240132,1.0413753774137073,1.0250243385810935,1.036223538682503,1.0202221301105772,1.0413753774137073,1.0189537541924292,1.036223538682503,1.031109948581463,1.0413753774137073,1.0222360030704563,1.036223538682503
2024-02-02 00:00:00,,,,,1.0278037951693386,1.0476267567324613,1.029763557488715,1.0425235797484569,1.0251138458453373,1.0476267567324613,1.0235436038052657,1.0425235797484569,1.037165220398798,1.0476267567324613,1.0272692788225255,1.0425235797484569
2024-02-05 00:00:00,,,,,1.0259553268830344,1.0415299815501051,1.0261702505514494,1.0347332156167426,1.022383389796836,1.0415299815501051,1.021020174935376,1.0347332156167426,1.0331082720617941,1.0415299815501051,1.0240539292917554,1.0347332156167426
2024-02-06 00:00:00,,,,,1.027645548373895,1.0454414989454002,1.0271235118450253,1.038581103387099,1.0262519850671794,1.0454414989454002,1.0245489951935098,1.038581103387099,1.0372257422027753,1.0454414989454002,1.0273850043372987,1.038581103387099
2024-02-07 00:00:00,,,,,1.0294072561603744,1.0492064596018194,1.0299536481293603,1.0440287755859663,1.0280236012869646,1.0492064596018194,1.027688969821544,1.0440287755859663,1.0400074777877857,1.0492064596018194,1.0324249389095195,1.0440287755859663
2024-02-08 00:00:00,,,,,1.0323040581746166,1.0523146407029795,1.0308113628080076,1.0457987779262605,1.0311582860357338,1.0523146407029795,1.029166611948219,1.0457987779262605,1.0427272373776106,1.0523146407029795,1.033028231213165,1.0457987779262605
