date,a2c,ppo,ddpg,td3,sac,mvo,cap_bh,twii,0050,a2c_75,ppo_75,ddpg_75,td3_75,sac_75,a2c_65,ppo_65,ddpg_65,td3_65,sac_65
2024-01-02,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,989723.6820099273,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-01-03,984978.7430645578,980093.9127586168,979664.5577262385,983232.1564259556,985959.9328576254,976763.1892155419,980102.0683977993,983507.7192358709,982579.7557372032,976754.8365050672,980110.3400495516,979282.9970586564,985487.1909645055,986032.4128583416,976668.0971986057,980071.634849788,977228.6250056044,978969.6495116788,983366.0630620898
2024-01-04,985172.896570964,981393.8818210715,981955.033218772,983033.6777419738,982614.1000213416,977836.906718797,981422.2522125195,982966.6479782303,982209.0881758971,978900.2701902548,981413.8444732772,981655.3010902016,984669.3559934632,983799.8533642225,978979.5114609556,981376.5700495618,978807.0609516614,980114.3753647394,984316.6487861662
2024-01-05,981422.4711629867,977082.8197566655,977181.0017465658,979163.5677353602,981068.1336118312,973825.4350321197,977119.4943352274,981257.77735235,979614.5283586135,974244.2091230466,977111.4386923373,976883.419636852,982419.0542594024,982210.9937433072,973179.0757273958,977063.1059503492,973135.723538171,975850.6958486672,980400.8593180684
2024-01-08,986171.4984300794,982457.1536746569,983817.0434414166,981030.9411748074,982302.9003328418,974229.3458327558,982457.5569163567,984255.4390187204,984062.3128705686,982339.973129385,982500.2081340688,982783.8964010652,982996.825589881,981018.6448623356,982193.8622682174,982485.2643409766,979353.438577797,982431.9216257686,979566.6487774404
2024-01-09,983557.0199609884,982279.2185818393,984716.0163619525,976985.3308187557,978937.2447157294,975254.4600130059,982210.8392126127,982173.5289693555,985915.53756524,984541.1506472029,982295.8843677392,984989.1245059004,978843.4459794408,974703.4724452498,985189.5855753004,982311.4134334822,981394.7019363096,984039.8338593798,976080.8929182696
2024-01-10,978110.9083589258,978196.8800435716,980618.8026753544,972349.8549207909,974726.8367001663,975058.2626464787,978123.562655024,978260.6626646065,980726.5310425316,980524.832981197,978195.2755892528,981452.1900487192,974279.5281943307,969773.872973148,981827.1693277772,978214.7684189768,977815.8776007384,980783.4891313292,970170.8744131008
2024-01-11,983090.0553022152,981397.1344428973,983748.6052585251,974376.5096304048,979025.0476911259,991972.0131502117,981381.3168161224,982724.1176551026,984803.6479931808,985501.613618884,981390.4944854052,985622.851994146,974721.4502498847,974884.1610355084,985864.3307697168,981395.974981752,978760.5992082788,984032.2613249106,973362.751867226
2024-01-12,982936.1740045311,980673.9926443872,982854.0751800862,976161.9006534526,982091.1823003925,988816.3889020628,980684.3802779925,980904.3197637051,983320.9777479564,983368.6268195942,980672.203349239,984859.8472792894,973074.9121413084,974223.7229710942,985099.6932745546,980661.2007416711,977021.0459884516,982284.9319346764,975237.5589523262
2024-01-15,984189.7429226871,981621.7820333885,983893.798027815,976229.9221205625,981368.6894201363,986331.0718914685,981580.5068859403,982808.1335721806,983320.9777479564,985253.9038065398,981634.1574333452,985033.8958368226,973795.1785407813,974185.108553025,987780.6631063744,981636.4563083228,978926.3678302948,984559.0454823396,974014.805678723
2024-01-16,970553.3931047209,969100.0025121921,970673.391988324,960140.8766562636,971056.917702631,977676.4241508793,969146.0526826241,971608.7461882427,975908.0789692705,975422.6317518748,969095.0660496076,974146.8882495748,959536.4856681846,963388.6868959614,975440.3139618718,969103.1141208892,966215.993417655,972865.1994554908,961663.9817767752
2024-01-17,955448.9490404786,960186.7058505954,963019.9876617322,944830.3943474519,953030.8662534029,966068.6741049744,960351.3205747163,961242.2978572113,944773.9267211609,969799.3368985628,960141.1145500608,969499.153022693,942572.7768204568,944438.761867689,971365.2627470654,960198.7052962908,960332.1843745412,965859.0999970172,945231.9624649936
2024-01-18,956583.4302386978,965914.7377629511,969089.7407633836,944783.2156456709,957264.2675945982,962230.6221561264,966094.8704023886,964938.998208645,951074.9359277876,977910.629184776,965852.6086146828,977763.2856917392,944365.0497424834,946463.388220192,982032.7607760516,965969.573885322,969425.9478135322,974393.1569947292,946604.5394783024
2024-01-19,974261.7463998166,1000876.0753997267,1008309.2372289139,965444.7388868637,970348.7270452363,980223.0005127944,1001772.7861185926,990352.7191674985,985174.202442628,1023786.1511910522,1000753.1788633874,1021319.855079338,952745.0067216232,959019.7405758474,1032389.2249800208,1001015.2807481335,1011818.4670866476,1014066.991629168,965663.9401790154
2024-01-22,980670.7931796819,1005527.7756135061,1012357.1729524685,973940.4083497652,977706.4695247484,997687.4222164602,1006712.3314332613,997834.621012184,991845.8792105607,1029691.130264684,1005380.60711255,1025882.9605299584,952390.5959136648,964086.654891252,1035107.3188624833,1005617.0073416756,1012111.1203712316,1016705.851725948,975614.6155679089
2024-01-23,984091.6843880449,1008519.9509011846,1014525.450485776,976889.1664750144,984384.2209007693,1000152.8201836419,1009610.8414778084,1001166.7054109861,993699.1039052322,1032156.4792003076,1008384.3798809148,1028039.4908940817,957926.3777506588,969859.8214175946,1037878.5092837,1008613.6740141298,1015501.0014959822,1019469.0554060724,977334.7018613822
2024-01-24,986117.8834954784,1009225.9810697901,1015776.1922151054,980807.4538674816,983511.310680341,991551.1968427422,1009982.2966603335,1001236.171696591,993328.4363439261,1031136.9946493484,1009070.8005140504,1028184.2467090636,960729.6652686602,966167.4187067448,1038909.144293554,1009318.7302339616,1016554.0409921904,1021050.213064456,979393.6965343788
2024-01-25,992601.3798647914,1020755.6542171472,1028905.2648470942,981401.0249040803,985842.4498849123,991517.8350843412,1021867.4596591768,1008337.7046041926,1005559.6740840145,1048789.2833774977,1020575.1210373852,1043125.8512497824,964912.9316913805,968981.4853494676,1057092.7099020493,1020863.633513132,1033803.370733557,1035928.7665835998,983918.7479048168
2024-01-26,990499.3197497107,1021051.7099958749,1029337.3834325423,977848.0018520312,986306.1747884728,987053.8584836569,1022020.4894313975,1007912.5928154357,1005559.6740840145,1049254.6401406396,1020895.1670265272,1043554.2649023804,965570.0467995512,973240.3047722584,1058299.5284598053,1021196.3535366142,1035624.5512890004,1036091.4403254072,980788.0487922088
2024-01-29,994147.984895162,1027513.9802457868,1036228.7404182487,984978.6980337613,993948.5397299405,997559.6616322859,1028584.4510244844,1014891.6025106318,1011860.6832906412,1055681.2464630003,1027357.4751571754,1050480.8682312611,968027.487391788,979520.1261662828,1065534.278424105,1027654.4028885168,1041411.6066858706,1041521.126892752,986547.6113288924
2024-01-30,987094.618079688,1020763.5848648282,1029570.0773373863,981614.0286267815,986489.0683334919,994904.0663773817,1022004.8926595333,1010130.7005428764,1009266.1234733575,1048085.2474702208,1020570.5831864848,1045203.7432769064,960140.9372324168,969514.9077092888,1059282.055549148,1020870.1533136223,1033738.9048970004,1035213.1411918984,983647.24341588
2024-01-31,983641.236921842,1010793.4631114777,1017610.066915225,979249.0174132752,985806.2975070897,995008.4168024145,1011351.9214780626,1002005.223645886,995922.9961612098,1032623.1883964376,1010601.5948753796,1031928.9965386436,960009.9837587927,967680.0200069617,1042662.2088699671,1010869.35790223,1021932.6460953716,1023217.528432147,982101.1100569896
2024-02-01,990205.1996896627,1013689.7390687001,1019571.5638837717,980992.3098129303,996040.7307191344,1003669.1226139043,1013863.6715528291,1006404.791532771,995922.9961612098,1032556.798132056,1013543.5554697184,1032319.1154224623,969770.0546445672,976068.4756927224,1041030.5545663612,1013784.9620163266,1022143.6703490444,1024678.9523454632,982578.1365808338
2024-02-02,989804.888780098,1019524.2786763259,1027142.3110449011,986369.9867971856,996311.6047345273,1016661.55045841,1020245.7659251847,1011547.7033734907,1001482.6702452241,1039834.228237964,1019365.4184905774,1040862.4023317453,968956.561747649,976624.8303722218,1050482.6435157573,1019595.8469361946,1028105.4565211664,1031646.2052385578,983678.4116633722
