date,a2c,ppo,ddpg,td3,sac,mvo,twii,0050
2024-01-22,1024537.5376814351,1008259.3770170849,946939.844809588,938666.2129924884,965776.6641264358,977850.949554314,997834.621012184,991845.8792105607
2024-01-23,1002038.9328667128,1005544.6303579556,952689.5373659693,946403.7899120441,954917.6813002753,978533.4027693095,1001166.7054109861,993699.1039052322
2024-01-24,1000080.2806841132,1005200.9464746437,955578.4645128809,952399.9620311847,959663.2152775896,977798.7069520879,1001236.171696591,993328.4363439261
2024-01-25,985984.0517443221,1006650.5017650408,955336.3097715937,957947.3124874225,959304.8991365213,978993.3373103272,1008337.7046041926,1005559.6740840145
2024-01-26,984343.7977181391,1006127.1927863793,941788.0862780176,945824.1447008243,955065.7547795376,977594.221510534,1007912.5928154357,1005559.6740840145
2024-01-29,999651.6581858088,1009784.0336342509,954849.0904913507,954881.1148203006,960956.3911740575,983392.340403487,1014891.6025106318,1011860.6832906412
2024-01-30,988848.7801386025,1006657.4747986804,947894.1495199762,948595.5853117099,958755.9279964407,978777.1032712439,1010130.7005428764,1009266.1234733575
2024-01-31,1003099.1893095688,1006515.7400219059,944446.2561750971,946308.0267465701,965274.1834896645,977843.6761146641,1002005.223645886,995922.9961612098
2024-02-01,1025247.1111397254,1013367.0860238471,940520.0980082117,939521.6186473956,973489.355931434,988533.0896275572,1006404.791532771,995922.9961612098
2024-02-02,1050271.784352897,1019594.5166005185,933477.8616209589,932562.8152111163,981619.6472340391,997489.6726838038,1011547.7033734907,1001482.6702452241
2024-02-05,1032502.1871813876,1017431.5831672951,928501.4201098047,929096.0354183307,973367.353574352,995874.2009472791,1013571.9618755896,1007783.5663399921
2024-02-15,1019479.8720763564,1028457.7507102317,937459.1508417688,946811.0325763812,975543.9235630234,1004675.7182756502,1044293.7822204597,1055226.1863906977
2024-02-16,1047141.2479714327,1031325.3975519412,940576.5468569361,948324.7795856586,984638.1227920027,1007639.320544929,1042203.4487002421,1047442.6200507059
2024-02-19,1056921.9661876257,1034716.3805871741,942477.1299067102,955784.1485212436,990961.6097447844,1009535.0243132019,1043802.5954135841,1045960.0629173404
2024-02-20,1064696.1173252459,1039913.0799320841,955456.5474329554,975882.599495708,1000225.2074267836,1014830.5527128291,1050375.965759138,1050037.0667561304
