agent,final_NT$,return_%,sharpe,max_dd_%
A2C,2481363.925041463,148.13639250414633,1.6144582056637236,-27.582536780638694
PPO,2020523.604780073,102.0523604780073,1.5075205711603321,-25.750514055904066
DDPG,2345018.774454706,134.50187744547057,1.5897040460717626,-28.13911090532935
TD3,2132723.846601507,113.2723846601507,1.5451989610153944,-25.426664990169257
SAC,1668353.4256088787,66.83534256088788,1.164959737110513,-29.391609558928533
MVO,1216798.1846007109,22.94322210514772,0.5944877504072279,-22.983098429241718
CAP_BH,2091574.9916516156,109.15749916516155,1.4831651693299768,-26.792630037734206
TWII,1821362.0314786201,82.136203147862,1.3277883192482605,-28.693157544286592
0050,2191252.92422433,119.12529242243299,1.5782786881544448,-28.47358057051449
A2C_75,2434162.955103761,143.4162955103761,1.656339060698861,-26.469515880158557
PPO_75,2017364.059199152,101.7364059199152,1.5060862581428849,-25.782869300489004
DDPG_75,2191939.395625609,119.19393956256089,1.5379512436225162,-26.618741088851234
TD3_75,1371660.3663662642,37.16603663662641,0.8633447691347726,-23.224368602456607
SAC_75,1770307.8978572253,77.03078978572253,1.2136455813261153,-30.1624683825483
