date,a2c,ppo,ddpg,td3,sac,mvo,cap_bh,twii,0050,a2c_75,ppo_75,ddpg_75,td3_75,sac_75
2024-02-05,1062673.8826787274,1024464.0801905738,1035833.796869462,1039412.1766096227,980430.1575397229,1010825.565248523,1025634.8071681279,1013571.9618755896,1007783.5663399921,1049707.2601731375,1024202.4552639368,1049862.1871080785,964768.6399013262,970030.2835212136
2024-02-15,1127777.8331857559,1062119.9152721453,1087552.2772361662,1087164.4638833194,989248.5665104854,1014806.08445941,1065556.875983495,1044293.7822204597,1055226.1863906977,1106019.257658485,1061755.6216400082,1100717.7360686818,965921.2069204408,970121.971396166
2024-02-16,1111513.1861917793,1054729.0604361827,1076906.559589448,1077516.1679855513,989206.920518634,1014835.3341841174,1056473.1588799811,1042203.4487002421,1047442.6200507059,1091610.5259242195,1054376.8025857937,1088198.6327984375,970307.941360098,974609.867129279
2024-02-19,1107330.5289234554,1055512.295067072,1076389.7716155841,1076815.7501509131,994018.9665781148,1018783.5150219097,1056415.9763100403,1043802.5954135841,1045960.0629173404,1087984.15811647,1055169.1434422936,1084673.340129241,979272.6379820718,988150.3907051744
2024-02-20,1121866.3908194297,1064937.0389538042,1088466.718776245,1088287.6164376733,1000208.3267836128,1023456.9408084576,1066087.019455624,1050375.965759138,1050037.0667561304,1098669.5085373586,1064568.5188278104,1095614.567753259,984713.738207034,992879.5957931728
2024-02-21,1114064.7526734625,1058137.8031463183,1081704.9861512461,1080860.9458372071,994263.2860034377,1018122.2874574395,1058905.2237844751,1046071.572153318,1046701.2849280937,1091102.9176736071,1057750.138056581,1088072.1864912277,982673.89484488,987486.6713593124
2024-02-22,1132016.1425831474,1069006.535283299,1095350.1844298774,1093486.4988968207,1002406.3479344461,1016350.8671213116,1070278.8587531932,1055955.6947312283,1058561.9682187347,1104055.6762471683,1068613.1792600714,1102096.5433075684,983936.8819960672,988666.9885961245
2024-02-23,1143951.405922852,1073360.2036139793,1104647.5491964384,1101114.2011122308,1007715.954246648,1012385.9842709085,1075114.4095946762,1057995.0498434275,1065604.1994361146,1108878.540014306,1072922.3310206071,1110259.1551929086,978289.1766598116,983607.895073094
2024-02-26,1147927.0168986223,1075615.3237550957,1107042.040143283,1103652.8246998752,1010278.8019800102,1013349.9733451395,1077499.20468315,1061291.9088186629,1067086.75656948,1111173.5819333324,1075163.278863216,1112178.138725425,979317.5332792926,986374.6833770134
2024-02-27,1147152.9067023832,1071285.7247072177,1104280.4514790492,1102319.953520302,1002260.4824169801,998880.4160382999,1073261.321548478,1056047.0401619058,1062639.0851693838,1108363.2609365026,1070819.8696801837,1107825.862152217,977415.7418381302,978237.608456742
2024-02-29,1143535.7530980106,1074467.1819244835,1102107.2650612688,1102367.3147965826,1014292.0585563513,1025311.6925007348,1075630.9373422987,1062340.3574505325,1062268.4176080779,1106580.356935993,1074021.6480334394,1106708.579910984,988300.2468406444,989902.7286379734
2024-03-01,1140014.3481817616,1070152.462087998,1095702.79462129,1098222.6468478427,1006626.4623661578,1031744.8369397393,1071616.1329827846,1060612.998947066,1058561.9682187347,1104937.3656775802,1069733.5585997617,1103732.2042601537,982177.7560235026,986294.3360177354
2024-03-04,1185933.2434195445,1097493.3315883698,1135085.257850986,1133625.4064455577,1018052.3509526291,1029023.2282854583,1100786.3850573967,1081302.2467147096,1089325.4529055383,1142464.5330362555,1097007.5042756663,1141717.7137769638,987653.8430615546,992159.5129136402
2024-03-05,1193688.1194941695,1101195.5811300997,1139524.7092747097,1138780.9304658442,1019643.1466045126,1035331.7505113527,1105270.1215335068,1085873.2377032368,1098220.9088175895,1149277.8705742497,1100703.5270669544,1148356.1600810569,984589.5668830508,990205.6971029092
2024-03-06,1203149.9983603414,1108234.9473539197,1147929.969052287,1146375.1321245155,1027661.1651013476,1040192.702007039,1112624.6437971033,1092176.0724199703,1103410.0284521568,1158103.9229615205,1107721.6608108317,1156813.8572501978,988916.6706756558,993788.6516374344
2024-03-07,1235434.6602887434,1127095.2968704666,1177008.1271117292,1169804.994209497,1035895.4414819668,1031160.6587637432,1133329.148093198,1103046.0692748432,1128984.506616252,1186044.8320614258,1126468.2040360651,1181658.272322029,991265.0647839832,995728.9084372632
2024-03-08,1263189.2480018677,1141931.2334510817,1195830.8800966735,1188529.004434212,1038763.592675885,1021633.5153630432,1149909.3640381375,1108187.8871583093,1144922.1937456832,1211062.5377596242,1141258.4410344516,1198896.7113367834,990361.21494995,997590.1987402588
2024-03-11,1244218.8636113103,1135248.337436101,1182863.6684418959,1177999.3515536988,1045271.4932881757,1027629.3785701985,1141046.5298055406,1104869.8054123535,1133432.1780163483,1193641.9503001254,1134659.234472426,1188171.3710855392,1000636.4489807616,1006711.4881924244
2024-03-12,1250240.710313213,1145306.6347321786,1194198.2798285976,1187730.2746350397,1060496.4597299779,1029651.4149928066,1150800.4432983638,1115426.1647226133,1145292.8613069896,1201248.4799401674,1144746.6345385786,1199111.8754539378,1016674.7883885542,1029444.9799526344
2024-03-13,1258813.4168925004,1150515.6324354499,1202328.9459763034,1193934.8821979498,1063352.4347317491,1020811.6464907154,1156747.2101565693,1116208.015971776,1150852.535391004,1210653.590497941,1149935.2469418088,1205595.430837182,1018358.4879591196,1030331.4517419162
2024-03-14,1259242.5206704854,1152802.6775433032,1205107.6931466635,1197011.31337775,1058311.357738865,1019902.1155603214,1158417.6439503788,1116735.0845765702,1149740.6458189446,1214768.5661767763,1152251.322414552,1205775.640618563,1025824.1688456136,1037463.9205861684
2024-03-15,1219812.2362005215,1134540.5751582999,1179339.8862770332,1173552.2592191624,1065182.9859023162,1012180.4415299561,1138009.422145629,1102428.8585923505,1134173.5131389603,1183270.4631263963,1134155.025096129,1183576.0655654464,1033706.8920134064,1043926.6679852252
2024-03-18,1239736.6875223003,1146120.4970355118,1197297.4127428678,1188693.7447063804,1072086.0432000768,1007147.5803765729,1151004.5918667624,1113482.530870106,1144551.5261843773,1198322.5549862364,1145677.636400137,1199359.727965207,1034744.4313538112,1052957.614918223
2024-03-19,1236094.7460423368,1145786.508815027,1193072.4745135375,1185915.3082170277,1074823.7366262448,1000107.2890692102,1150522.0727367434,1112213.8686430827,1141957.0794789523,1196708.102561927,1145347.3923335322,1196738.7303627566,1034632.2800570356,1053983.3811704656
2024-03-20,1229735.9719674233,1140673.362860393,1186874.5161881992,1181634.1796537358,1070463.5710601362,998928.5029668035,1145283.282032854,1108139.096664798,1135656.070272326,1191789.1343016254,1140230.8665853408,1190663.7891096538,1034309.7138440256,1051764.766064836
2024-03-21,1262801.7148854057,1168193.064122213,1219195.7281929196,1211249.4075727828,1091253.0184213868,1013412.5804801877,1173853.7633165487,1131363.3715762557,1166790.2225204355,1222605.5122485815,1167729.6998358432,1221376.188202248,1051504.8473020943,1077293.569714969
2024-03-22,1262896.969157186,1169554.1728056502,1218609.4544158953,1212685.037548278,1092256.436088432,1016849.2950467034,1175578.3910897356,1133006.714162644,1165307.66538707,1222428.3075401084,1169108.7620563372,1223049.2131559628,1051166.5526689503,1086226.7460467382
2024-03-25,1256474.2436455125,1165038.3810284373,1213849.8053206685,1207202.7175123587,1087988.332017135,1017476.564989011,1170505.8972017057,1130980.2677460378,1167531.5576430473,1215154.681187866,1164599.6187262635,1218171.1305795712,1051324.3745401716,1084057.922126471
2024-03-26,1258205.2951361071,1165958.42664651,1216154.990648907,1208050.009020062,1085270.7485379588,1011361.1357652752,1170851.0809103146,1127297.0230688236,1168272.8927656596,1217021.1991472198,1165517.2559800867,1219141.724947458,1050995.903408007,1079011.4040877323
2024-03-27,1258797.2584073422,1168341.7543696733,1219051.9310946348,1211161.3429281835,1093645.9633824732,1014414.6697944561,1173441.691052759,1131421.0231235216,1168643.4472151068,1214042.247850178,1167908.5199562106,1222407.8379359387,1059894.8962663312,1087687.5951110723
2024-03-28,1246161.1262012944,1164137.2635079352,1210439.5144686284,1204025.173352948,1101153.807540758,1013322.0620342514,1169368.318230048,1128420.626564017,1163083.7731310923,1203599.731494021,1163742.387909232,1217276.0523788307,1062171.5527390973,1093871.7223278305
2024-03-29,1262754.985698653,1176180.8734924127,1223840.8986545575,1215568.8114935136,1110736.2291804713,1025794.1840884248,1181529.705824183,1136704.5084713313,1169755.449899025,1218642.53373681,1175769.7997972474,1231449.0641949424,1062917.9147180452,1094701.0297954176
2024-04-01,1249301.2482952564,1167657.7629507328,1214470.214647143,1206550.474194298,1101315.477229723,1030459.6170975628,1171407.3314554873,1132665.0713123386,1166790.2225204355,1206432.6654208004,1167284.268258881,1219328.525653672,1067632.3962887672,1099760.6047784237
2024-04-02,1272679.8290550588,1185036.2479934315,1237672.834795503,1226700.1332128185,1114782.7294744935,1026617.8009382351,1190951.2745850112,1146345.1161645858,1183469.244772479,1227877.4081503495,1184655.2834076802,1243144.2355592975,1074036.3749021988,1110226.8238157572
2024-04-03,1262260.0266546132,1175180.9256714291,1226131.4587988062,1216388.2885064532,1108747.681464772,1036136.1373883098,1180905.115928011,1139121.3882317548,1175315.1239830395,1218275.973256545,1174807.5718481317,1233798.9199391594,1064520.4808605234,1104716.4229051345
2024-04-08,1265742.0325508567,1179997.3385098907,1229868.4110709133,1220114.014516846,1112010.023498108,1041332.4649740688,1185378.6611800466,1143607.8163245772,1181986.6876391135,1222847.7059291457,1179633.2128153262,1238049.823174128,1070104.9245485205,1111095.7132014062
2024-04-09,1310104.9281507467,1206458.3000968646,1267028.8984473697,1253593.6318418935,1117319.353512625,1045178.7984386927,1213700.9322724224,1164807.832733936,1210155.725620492,1259534.5640038117,1205979.9234961292,1272120.6373479872,1077127.6614169334,1117114.957310001
2024-04-10,1306965.4910502075,1203770.213202899,1265590.252493419,1250781.5634561002,1117469.2767408649,1040795.4351851104,1210103.1409264,1162977.9704358052,1208302.5009258206,1256315.6903791998,1203276.5282601025,1269136.1579533014,1074575.4000653366,1108459.8093584825
2024-04-11,1311899.961662012,1203981.9043028026,1267279.8780748043,1252936.2661547898,1109676.7185699085,1036530.346950624,1210837.0681171166,1162400.5797973445,1204596.0515364776,1258131.0449318842,1203478.7021763115,1271407.4654409152,1065645.8682449025,1097665.9959359036
2024-04-12,1308266.0327152887,1199314.8555876364,1263553.3359244638,1248622.7951952037,1103235.474849145,1036028.6169913065,1206419.6976128223,1161467.981238633,1201630.9372697468,1256620.9922343418,1198804.180863343,1266501.2711569143,1062983.0473316358,1097825.0254849803
2024-04-15,1286412.643091307,1182623.593878347,1244039.5618880196,1229359.838303353,1082639.068990143,1028728.8545477677,1188674.3336678168,1145404.0941350216,1186063.8045897624,1240479.9021253288,1182142.073484703,1246216.890991862,1054147.1789944835,1084330.4900639828
2024-04-16,1253425.4556277678,1150515.404655697,1211535.9495441455,1198003.9202945484,1046363.0947863212,1001125.1588442624,1156621.9747264108,1114720.99987693,1153817.649657735,1208949.2259554162,1150039.6924709782,1212808.9771296168,1027711.7357976356,1055301.9216024606
2024-04-17,1273257.642166589,1165005.0623434936,1230014.0072072577,1214690.5278561583,1055734.0263229709,1008743.277216553,1172950.365975137,1132160.9758098703,1166790.2225204355,1227207.3867180252,1164490.3084295697,1231031.4188082805,1035157.7856806018,1068873.445791717
2024-04-18,1275060.7169882897,1168260.9467674412,1231431.142261836,1217571.034692103,1060461.4414439125,1018961.692749375,1175856.7592438883,1137082.5800981827,1178280.2382497704,1229314.356488113,1167763.8708498406,1233370.1837536446,1041507.1625846616,1079654.13070371
2024-04-19,1202645.657462952,1118890.8477311537,1168491.503493539,1159364.713309356,1031340.6605445137,992056.5575764109,1122437.771514246,1093725.8816611741,1118606.3804589764,1166337.447947533,1118575.2194843409,1172471.794535519,1021957.569946048,1052855.7355038887
2024-04-22,1189438.201870872,1117586.167738738,1164218.8934953758,1153511.5625724322,1033315.6396554261,992640.7051042478,1119084.7321981955,1087234.3393181912,1115270.5986309391,1159735.8454456837,1117320.5106115637,1164977.8240593942,1036630.9833336902,1064142.805284507
2024-04-23,1204930.4944750583,1127246.0408598413,1176634.7081224509,1165905.9334113428,1039608.4405961656,993575.9491463784,1129554.038874767,1097767.6161303998,1126019.2792376622,1172554.9219257734,1126949.5477274605,1177584.6304362542,1037411.8062939096,1064958.2508822212
2024-04-24,1246917.2817553275,1159544.8254238633,1215544.1225747792,1202916.535033256,1067775.0402320977,1012922.6362576538,1164273.6055566885,1127591.0787785968,1159006.769292302,1207636.5265053085,1159214.6138519926,1217678.2616938052,1054493.8324493594,1091514.5717357907
2024-04-25,1222101.3307524126,1140116.014871844,1191627.3546385344,1180524.8029226228,1052523.3067999792,999853.7220683838,1143753.473781642,1112226.2303600488,1137879.9625283033,1185719.995119658,1139820.178670235,1193894.9291923018,1041177.5915210894,1078372.0990094976
2024-04-26,1244510.2693118474,1155530.7535050663,1209505.3072397856,1200359.5722284385,1062562.1182725485,1012018.3792877521,1160376.329910161,1126962.053357765,1156412.2094750185,1203460.6291128667,1155168.5460514876,1213417.5302453332,1048198.943733917,1088402.4072174667
2024-04-29,1265787.8949988503,1178551.6415345191,1231990.6016325408,1222109.8836873933,1085962.7667723151,1030143.4402347497,1183133.635577598,1147966.579605902,1177168.348677711,1227449.2835253002,1178203.8355809522,1234573.7281710664,1069498.8146502234,1113850.4642677554
2024-04-30,1256575.0161422635,1171230.9457562251,1222337.8378646297,1214286.8408012097,1078211.74030721,1027536.1256994177,1175572.019141118,1142426.014303491,1173091.231727062,1221637.05250629,1170881.809754627,1226562.1247546966,1062222.8982697062,1105346.6327875704
2024-05-02,1234843.1384309924,1157035.338679211,1204820.7075278792,1197290.523584028,1073514.150288103,1016743.2493888652,1159787.8862716374,1132671.1974729586,1157524.0990470778,1202569.510491923,1156730.8067085776,1209511.862507265,1057165.2913104028,1097014.4862269447
2024-05-03,1248209.3286083504,1166953.1866857167,1217232.6173576456,1207794.4676437052,1085706.316122776,1013157.5991065202,1169860.6520474758,1138713.6703633305,1163454.4406923982,1215123.7904555378,1166604.8513331336,1218878.822903058,1062799.8220826278,1108394.668105844
2024-05-06,1257863.5456566662,1181258.9022506534,1232603.4293304784,1222948.886987606,1104863.7146974711,1024768.385659362,1184902.5210505982,1149523.1713820782,1180133.462944442,1228258.115598783,1180957.0240751894,1234469.845946632,1083409.1787491702,1134417.257527118
2024-05-07,1275515.567964479,1191967.1587944736,1247335.9245609944,1236956.5466749272,1108561.4152281457,1023563.7811374728,1197009.6002208556,1156816.8031834157,1186805.1397123747,1243182.3400055186,1191640.0052761931,1248928.1486439556,1084042.9563019194,1136627.351939694
2024-05-08,1280986.616921878,1195165.5863669927,1250614.7640314847,1241564.6789679574,1113876.2785043877,1014466.2667626179,1200552.6789746752,1159448.207961274,1191252.811112471,1247301.0471887668,1194824.5311254952,1254197.643523502,1083403.715040679,1131613.4375083472
2024-05-09,1272951.6161001115,1189096.427301926,1242605.0510790143,1236010.3799781858,1107533.8968570572,1014807.0572143495,1194654.106231265,1151621.2719987966,1189770.2539791055,1238105.5531476228,1188756.885239357,1248541.5468401413,1078192.7284940586,1130533.0260743457
2024-05-10,1282997.814428488,1199993.4262801432,1251850.2535616679,1247335.28465712,1116953.686871485,1021754.444173101,1205017.4544312172,1159914.780729943,1198295.0423298508,1249849.8583632282,1199632.233806523,1258051.5058214285,1084727.3862958767,1139038.8114515587
2024-05-13,1305067.9294706928,1211179.9442505015,1268103.7389876216,1262836.2066674351,1117143.0152333726,1025885.0462874562,1217508.1510282657,1168253.1417084879,1210526.3931817983,1264349.9457749482,1210772.9737159454,1275165.9653841788,1086621.0787283413,1136975.187753276
2024-05-14,1317454.8459719098,1218567.7175584752,1277702.3211921884,1272623.1516537743,1123573.08483464,1032219.9269860128,1225759.9952275795,1175430.2670623146,1218680.5139712375,1270558.4726581909,1218148.7037652934,1288158.264169959,1083805.1823880312,1134158.135727895
2024-05-15,1334209.4404754082,1229850.8129146742,1291594.3078723883,1285926.869551362,1128282.7913979024,1038913.137653084,1237914.2296082422,1184468.2137045495,1235359.536223281,1286809.5136869836,1229408.2772347173,1300159.2762062135,1087401.35522157,1140864.1669757424
2024-05-16,1344173.009772158,1236794.0025946335,1299647.5455407298,1294548.6448283999,1135192.696728952,1050585.8627855512,1244421.0545051587,1193264.614585185,1241289.8778686016,1291647.4575279336,1236319.9540568113,1306369.980002296,1094408.587379038,1149428.0659456877
2024-05-17,1333820.1756390522,1232988.4927319984,1291409.4185796182,1288044.4042759726,1137686.0931780934,1048063.0156816,1240060.4442346627,1190699.9411997977,1239807.320735236,1286877.8863958796,1232532.4089542774,1299270.9145368324,1093349.788171647,1147815.657646338
2024-05-20,1336642.9954642593,1234458.9203675813,1292365.9079195454,1289898.768697873,1139231.2602198536,1049618.5289572738,1240881.5991166283,1191437.049597287,1239436.65317393,1288355.2676229842,1233991.40632918,1300202.6295550892,1095363.5193316056,1145980.3876120746
2024-05-21,1338743.4785119328,1231918.2393782842,1293087.2314359269,1288676.8904336584,1131652.3685817034,1041925.3972776536,1239401.1670843193,1189483.3513380466,1237954.0960405646,1291197.105816042,1231428.416160738,1300894.1662344728,1087135.3384694469,1136205.7337149174
2024-05-22,1367557.2715006906,1252666.4157806044,1319392.8118872824,1313059.4492053157,1143554.8758617197,1050026.0497168927,1261972.3623246043,1207131.1791491748,1260192.7923766228,1317302.8340338008,1252158.286880478,1325898.9166309054,1095367.0249936592,1148087.6913880797
2024-05-23,1381503.819913147,1261000.891980216,1331654.1155960662,1323691.1786488304,1149438.4448899273,1056250.8457557252,1272178.2871345843,1210245.3472630556,1269829.5834112864,1331942.094860294,1260452.3651165792,1339033.172495419,1095236.6649463584,1151707.5069505095
2024-05-24,1371310.0339767712,1253644.6400061164,1323048.6741505763,1315765.4043875448,1145877.891950269,1052911.8300167774,1264913.8032724182,1207887.869381504,1264640.5768885778,1320486.6199488705,1253139.895994676,1331786.325324651,1090875.0116581449,1149582.4696468837
2024-05-27,1382533.641658478,1268013.4716353652,1338747.6206019593,1328469.6031109798,1174203.3964155954,1053819.2122062522,1279580.5940072513,1221242.4619507992,1282060.8211513746,1329307.3185079328,1267551.23145219,1347101.498260463,1103434.0681181466,1170212.1322783984
2024-05-28,1380939.203052581,1266726.9517010562,1338048.1678694026,1328065.858234853,1175560.5995505627,1047525.8130394733,1277617.5990839803,1224302.9167635276,1283914.0458460462,1324187.0129476686,1266289.5416735276,1343424.343300864,1104010.1450744127,1173690.2956161725
2024-05-29,1368499.7430516153,1252141.0657816948,1322428.3546119973,1313952.3137153941,1160067.4190326205,1042002.5688833033,1262628.6377275279,1213329.8691353635,1266493.8015832491,1311276.3101566231,1251687.746347587,1328563.8761099323,1087520.6465159738,1152628.1256548893
2024-05-30,1345137.2189177836,1233956.2841760726,1300293.3235860134,1294484.3344895453,1145782.2547711134,1039461.9976339941,1242977.265686807,1196637.6129852724,1244625.6596966386,1288258.911575735,1233536.5487943578,1307864.6083993071,1080369.0368147576,1140413.7191614553
2024-05-31,1319441.4942495646,1219803.728648371,1279898.7228000606,1275610.3797250555,1137684.1541304088,1030563.1983082907,1226034.1391804707,1185981.047190581,1230541.1972618788,1269453.565608838,1219435.484539757,1286272.562572585,1084374.785800164,1132239.3334944274
2024-06-03,1354701.1112046128,1243959.1773067208,1308970.2515840724,1302758.401434335,1156444.320543613,1048175.8546014982,1252601.315736609,1206287.0817322813,1256857.0105485856,1299578.831523451,1243507.1329058777,1315991.9009064254,1092134.530880086,1148122.6716546894
2024-06-04,1341750.581318253,1231588.1670262723,1294441.7660636897,1289971.4621055226,1142605.9809612157,1040807.1688179267,1239613.123573322,1196197.2951906906,1236842.206468505,1288269.5300227336,1231124.049421475,1301027.6878147323,1081042.099993762,1135738.183415365
2024-06-05,1359470.8195315741,1241830.0853152685,1308041.6793391278,1303193.8118280657,1145832.876267972,1041452.9201959921,1251685.7007927916,1203381.3124752152,1248702.7766472877,1301317.6582804238,1241314.983378218,1314123.1452716128,1083851.1086881815,1143582.3936037098
2024-06-06,1413950.9446193944,1273535.2449523457,1351526.0799661193,1344287.167241215,1160889.4157856267,1050306.27343171,1287456.8218937446,1226783.574231837,1291326.9446247322,1344390.04772926,1272859.2282379356,1356153.6834564416,1089318.4330062782,1149462.4678744143
2024-06-07,1395957.572906116,1265675.273650155,1338405.40385892,1333520.4696987665,1161381.3497566087,1054547.9763510355,1277303.7164644655,1224301.275827647,1281319.5991406215,1333408.5552794193,1265057.091121108,1341947.869386496,1095997.1867088196,1154414.9961109776
