agent,eff_n,max_w,avg_dev_to_cap,turnover
A2C,11.360695783656851,0.19329740016388847,0.08162637199910441,0.002028448051220635
PPO,5.476496745824004,0.415430510683361,7.275817603883027e-06,0.0006800221193938078
DDPG,3.0240745641000037,0.5657065708471332,0.028450712032490652,0.001001949739642531
TD3,2.580041287930304,0.612347240679661,0.045356348789279105,0.0012079152642146156
SAC,3.5842319525625803,0.5181178206538882,0.014840957121081995,0.0007554905678756758
CAP (ref),5.534079228052401,0.4130173965206959,0.0,0.0
